Accession Number,Genus,Species,Strain,Location,Cryo Pvalue,Inoc Date,n Tubes Frozen,Date Frozen,Label
1383,Pleurotus,ostreatus,CBOST,D6,15,6/3/2021,10,6/15/2021,Po CBOST P15 6-3-21
1051,Cryomyces,antarcticus,CBS 116301,D5,1,6/7/2021,10,8/4/2021,Cryomyces P1 6-7-21
1339,Morchella,sp,M29,D6,2,6/10/2021,10,6/28/2021,M. sp. M29 P2 6-10-21
1013,Agaricus,brunnescens,Portobello,D6,2,6/15/2021,10,6/28/2021,Ab Porta. P2 6-15-21
1000,Agaricus,augustus,I,D5,13,6/29/2021,10,7/26/2021,Aa I P13 6-29-21
1039,Coprinus,comatus,K08,D5,2,6/29/2021,10,7/26/2021,Cc K08 P2 6-29-21
1085,Laricifomes,officinalis,Fairy Creek,D5,1,7/15/2021,10,8/4/2021,Fo Fairy BC P1 7-15-21
1088,Laricifomes,officinalis,I- Morton,D5,1,7/20/2021,10,8/16/2021,Fo Morton P1 7-20-21
1089,Laricifomes,officinalis,IV (4)- Elwha,D5,2,7/20/2021,10,8/16/2021,Fo Elwha P2 7-20-21
1091,Laricifomes,officinalis,Kitsap,D5,2,7/21/2021,10,8/16/2021,Fo Kitsap P2 7-21-21
1131,Laricifomes,officinalis,XLIV (44) - Cold Spring,D4,2,7/21/2021,10,8/17/2021,Fo Cold Spring P2 7-21-21
1136,Laricifomes,officinalis,XLVIII (48) - Taylor River,D4,2,7/21/2021,10,8/17/2021,Fo Taylor River P2 7-21-21
1076,Laricifomes,officinalis,Beachie Creek,D4,1,7/21/2021,10,8/17/2021,Fo Beachie Creek P1 7-21-21
1133,Laricifomes,officinalis,XLV (45) - Baker,D4,2,7/21/2021,10,8/23/2021,Fo Baker P2 7-21-21
1132,Laricifomes,officinalis,XLIX (49) - Spider Lake II,D3,2,7/21/2021,10,8/23/2021,Fo Spider Lake II P2 7-21-21
1112,Laricifomes,officinalis,Vancouver Island,D4,3,7/21/2021,10,8/23/2021,Fo Vanc. Is. P3 7-21-21
1074,Laricifomes,officinalis,Anvil Lake BC,D4,4,7/21/2021,10,8/23/2021,Fo Anvil Lake BC P4 7-21-21
1116,Laricifomes,officinalis,VIII (8)- #67318,D3,2,7/21/2021,10,8/24/2021,Fo #67318 P2 7-21-21
1105,Laricifomes,officinalis,Sleeping Beauty Trail,D3,1,7/21/2021,10,8/26/2021,Fo Sleeping Beauty P1 7-21-21
1150,Laricifomes,officinalis,XXX (30)- Humboldt Willow Creek,D4,2,7/22/2021,10,8/18/2021,Fo Humboldt Willow Creek P2 7-22-21
1099,Laricifomes,officinalis,Raging River,D5,2,7/22/2021,10,8/18/2021,Fo Raging River P2 7-22-21
1082,Laricifomes,officinalis,Duckabush,D5,2,7/22/2021,10,8/18/2021,Fo Duckabush P2 7-22-21
1148,Laricifomes,officinalis,XXVII (27)- Ellinor Lake,D4,2,7/22/2021,10,8/23/2021,Fo Ellinor Lake P2 7-22-21
1128,Laricifomes,officinalis,XLI (41) - Powell River,D4,2,7/22/2021,10,8/23/2021,Fo Powell River P2 7-22-21
1138,Laricifomes,officinalis,XVI (16)- Boulder Creek,D3,2,7/22/2021,10,8/24/2021,Fo Boulder Creek P2 7-22-21
1101,Laricifomes,officinalis,Rock Candy Mtn,D3,5,7/22/2021,10,8/24/2021,Fo Rock Candy Mt. P5 7-22-21
1146,Laricifomes,officinalis,XXV (25)- #75,D3,2,7/22/2021,10,8/26/2021,Fo #75 P2 7-22-21
1127,Laricifomes,officinalis,XL (40) - Goldmeyer Hot Springs,D2,2,7/22/2021,10,9/2/2021,Fo Goldmeyer Hot Springs P2 7-22-21
1083,Laricifomes,officinalis,East Tyrol,D3,3,8/10/2021,10,8/26/2021,Fo E. Tyrol P3 8-10-21
1111,Laricifomes,officinalis,V (5) - Cortes,D3,3,8/10/2021,10,9/2/2021,Fo Cortes P3 8-10-21
1137,Laricifomes,officinalis,XV (15)- Ellinor,D3,2,8/10/2021,10,9/2/2021,Fo Ellinor P2 8-10-21
1058,Flammulina,populicola,NC,D2,15,9/3/2021,10,9/21/2021,Fv NC P15 9-3-21
1064,Fomes,fomentarius,France,D2,2,9/14/2021,10,10/4/2021,Ff France P2 9-14-21
1164,Fomitopsis,pinicola,Tatoosh,D2,2,9/14/2021,11,10/4/2021,Fp Tatoosh P2 9-14-21
1042,Cordyceps,militaris,Cordyzilla,D2,4,9/14/2021,10,10/7/2021,Cm Cordyzilla P2 9-14-21
1163,Fomitopsis,pinicola,I,D2,3,9/14/2021,10,10/7/2021,Fp I P3 9-14-21
1040,Coprinopsis,nivea,I,D1,4,9/14/2021,10,10/14/2021,Cn I P4 9-14-21
1162,Fomitopsis,pinicola,Hoh,D1,2,9/14/2021,10,10/14/2021,Fp Hoh P2 9-14-21
1070,Fomitiporia,robusta,I,D2,2,9/16/2021,10,10/4/2021,Fr I P2 9-16-21
1071,Rhodofomes,cajanderi,I,D2,3,9/16/2021,10,10/7/2021,Fc I P3 9-16-21
1072,Fomitopsis,ochracea,Salt Spring Island BC,D1,2,9/16/2021,10,10/14/2021,Fo Salt Spring Is. P2 9-16-21
1217,Hericium,abietis,I,C8,15,9/30/2021,10,11/1/2021,Ha I P15 9-30-20
1188,Ganoderma,oregonense,IV-Elwha,D1,5,10/8/2021,10,10/21/2021,Go IV Elwha P5 10-8-21
1183,Ganoderma,oregonense,Cortes Carrington,D1,3,10/8/2021,10,10/21/2021,Go Cortes C. P3 10-8-21
1195,Ganoderma,polychromum,Olympia Madison,D1,3,10/8/2021,10,10/21/2021,Ga O. M. P3 10-8-21
