Accession Number,Genus,Species,Strain,Location,Pvalue,Inoc Date,Date Frozen,Date Thawed,n Tubes Thawed,n Plates,Viable
1231,Hericium,erinaceus,VII- Priest Point,E8,3,8/28/2020,9/28/2020,9/29/2020,2,6,6
1232,Hericium,erinaceus,VIII- Rock MD,E4,2,8/28/2020,10/8/2020,10/9/2020,2,5,5
1222,Hericium,erinaceus,Hai,E5,2,8/28/2020,9/28/2020,9/29/2020,2,6,6
1223,Hericium,erinaceus,I,E4,22,8/28/2020,10/2/2020,10/3/2020,2,6,6
1108,Fomitopsis,officinalis,Terrace,E4,2,9/11/2020,10/8/2020,10/9/2020,2,5,4
1109,Fomitopsis,officinalis,Tiger Mountain,E4,1,9/11/2020,10/12/2020,10/13/2020,2,6,6
1107,Fomitopsis,officinalis,Spider Lake III,E4,3,9/11/2020,10/12/2020,10/13/2020,2,6,6
1086,Fomitopsis,officinalis,Hamilton Buttes,E4,1,9/11/2020,10/14/2020,10/15/2020,2,6,6
1104,Fomitopsis,officinalis,Skookum Flats,E4,1,9/11/2020,10/22/2020,10/23/2020,2,6,6
1109,Fomitopsis,officinalis,Tiger Mountain,E4,1,9/11/2020,10/12/2020,1/14/2022,1,4,4
1225,Hericium,erinaceus,III- MD,E3,2,9/29/2020,10/30/2020,11/1/2020,2,6,6
1175,Ganoderma,lucidum,52412,E4,22,10/9/2020,10/22/2020,10/23/2020,2,6,6
1178,Ganoderma,lucidum,La Gardin,E3,3,10/9/2020,10/30/2020,11/1/2020,2,6,6
1179,Ganoderma,lucidum,LH-1,E3,14,10/9/2020,11/3/2020,11/4/2020,2,6,6
1180,Ganoderma,lucidum,Maryland,E4,2,10/9/2020,10/29/2020,10/30/2020,2,6,6
1181,Ganoderma,lucidum,UJ,E4,26,10/9/2020,10/29/2020,10/30/2020,2,6,6
1058,Flammulina,populicola,NC,E3,18,10/22/2020,11/4/2020,11/5/2020,2,6,6
1056,Flammulina,filiformis,FP I,E3,9,10/22/2020,11/3/2020,11/4/2020,2,6,6
1045,Cordyceps,militaris,Mycosymbiotic,E3,2,10/22/2020,11/23/2020,11/24/2020,2,6,6
